Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-10 08:09:29,false,"Chicago Running","3.59","418","00:29:39","156","169","2.7","154","170","8:15","3:48","108","262","1.22","8.2","9.9","284","8:36","383","0.0","363","763","--","4,614","--","No","00:05:32.0","4","--","00:29:04","00:36:56","592","771"
Running,2024-09-08 09:30:29,false,"Chicago Running","15.00","1,856","02:10:04","168","183","4.7","159","174","8:40","5:25","246","240","1.17","8.4","9.8","287","8:37","363","0.0","360","648","--","20,666","--","No","00:00:03.1","16","--","02:10:02","02:10:04","581","671"
Running,2024-09-07 10:55:31,false,"Chicago Running","4.16","487","00:33:15","163","173","3.3","149","165","7:59","3:47","200","315","1.27","8.1","10.1","283","8:32","411","0.0","372","816","--","5,052","--","No","00:01:29.5","5","--","00:31:38","00:33:15","603","804"
Running,2024-09-04 10:43:23,false,"Chicago Running","5.91","725","00:49:34","164","176","3.5","157","163","8:23","3:01","157","118","1.23","8.2","10.0","285","8:16","397","0.0","372","1,118","--","7,794","--","No","00:07:31.4","6","--","00:49:25","00:49:34","562","646"
Running,2024-09-02 10:30:26,false,"New York Running","6.20","773","00:49:51","172","182","4.0","160","207","8:02","7:09","289","282","1.25","8.1","10.1","279","8:00","398","0.0","393","522","--","7,966","--","No","00:01:35.5","7","--","00:49:49","00:49:51","32","134"
Running,2024-08-30 08:35:12,false,"Wellesley Running","3.75","474","00:33:01","159","172","3.2","160","167","8:48","7:45","118","108","1.16","8.4","9.7","285","8:39","359","0.0","352","462","--","5,276","--","No","00:06:41.8","4","--","00:32:37","00:33:26","129","204"
Running,2024-08-28 07:36:47,false,"Chicago Running","4.69","572","00:39:19","162","181","3.4","156","172","8:23","3:52","266","171","1.21","8.3","10.0","288","8:29","376","0.0","364","789","--","6,138","--","No","00:06:12.0","5","--","00:39:14","00:39:19","506","661"
Running,2024-08-25 08:09:33,false,"Islip Running","7.22","901","01:09:05","152","169","3.2","154","161","9:34","8:36","39","23","1.09","8.9","9.7","303","9:35","320","0.0","319","439","--","10,566","--","No","00:02:01.7","8","--","01:08:50","01:09:05","--","22"
Running,2024-08-24 08:42:22,false,"Saltaire Running","7.66","959","01:09:56","157","174","3.6","154","167","9:08","6:52","39","39","1.14","8.7","9.9","300","9:08","342","0.0","338","452","--","10,726","--","No","00:06:15.8","8","--","01:09:54","01:09:56","1","22"
Running,2024-08-23 07:56:53,false,"Islip Running","7.27","924","01:09:47","155","169","3.3","153","159","9:36","9:01","30","23","1.09","8.9","9.7","307","9:37","319","0.0","318","425","--","10,592","--","No","00:02:30.7","8","--","01:09:43","01:09:47","-2","18"
Running,2024-08-22 10:02:11,false,"Saltaire Running","7.88","1,030","01:09:19","170","184","4.2","155","163","8:48","8:04","36","43","1.17","8.5","10.0","294","8:48","359","0.0","357","487","--","10,718","--","No","00:07:59.3","8","--","01:09:17","01:09:19","1","19"
Running,2024-08-20 10:00:52,false,"New York Running","6.18","769","00:49:25","172","184","4.3","159","165","8:00","6:50","279","279","1.26","8.1","10.1","280","8:04","396","0.0","387","496","--","7,858","--","No","00:01:25.4","7","--","00:48:50","00:49:25","28","136"
